STATE,NAME,YEAR,AVG,G,PA,AB,R,RBI,H,1B,2B,3B,HR,TB,EB,BB,IBB,HBP,SO,GIDP,SAC,SF,SB,CS,OBP,SLG,TA,G/F,KBB
°h§Ð,½±©[?,1990,0.259,38,65,58,3,12,15,14,1,0,0,16,1,5,1,2,9,3,0,0,0,0,0.338,0.276,0.614,5.8,0.78
°h§Ð,Ã¹¥@©¯,1990,0.315,37,142,130,22,25,41,30,6,0,5,62,11,5,0,3,22,2,2,2,3,1,0.35,0.477,0.827,1.536,0.36
°h§Ð,ªL¥ò¬î,1990,0.272,29,110,103,16,13,28,17,5,0,6,51,11,6,0,1,13,2,0,0,0,2,0.318,0.495,0.813,1.067,0.54
°h§Ð,Ã¹±Ó­ë,1990,0.253,28,103,87,9,7,22,16,4,1,1,31,6,14,3,1,19,2,0,1,0,0,0.359,0.356,0.715,1.611,0.79
°h§Ð,§õ¤å¶Ç,1990,0.227,27,52,44,9,2,10,10,0,0,0,10,0,5,0,2,6,4,1,0,1,0,0.333,0.227,0.56,1.071,1.17
°h§Ð,Ä_¤O,1990,0.203,24,80,74,7,4,15,11,2,1,1,22,4,5,0,0,25,0,1,0,5,5,0.253,0.297,0.55,0.842,0.2
°h§Ð,®]ªø¤t,1990,0.075,22,49,40,2,2,3,2,1,0,0,4,1,7,0,0,18,2,2,0,1,0,0.213,0.1,0.313,1.1,0.39
°h§Ð,¯Õ°·½÷,1990,0.2,21,46,45,6,2,9,7,2,0,0,11,2,1,0,0,7,0,0,0,2,0,0.217,0.244,0.461,2.625,0.14
°h§Ð,¦¿¥ò»¨,1990,0.205,17,45,39,0,3,8,8,0,0,0,8,0,4,0,1,11,0,1,0,0,1,0.295,0.205,0.5,2,0.45
°h§Ð,¿½¯CÀÚ,1990,0.286,12,16,14,2,5,4,2,2,0,0,6,2,0,0,1,1,0,0,1,0,0,0.313,0.429,0.742,1,1
°h§Ð,¥Ö¿Õ,1990,0.107,11,32,28,4,0,3,3,0,0,0,3,0,3,0,1,11,0,0,0,2,0,0.219,0.107,0.326,0.75,0.36
°h§Ð,±ä²M¨Ó,1990,0.429,10,7,7,1,0,3,3,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0.429,0.429,0.858,0,0
°h§Ð,¶À¼sµX,1990,0.174,8,27,23,1,1,4,4,0,0,0,4,0,2,0,0,7,0,2,0,0,0,0.24,0.174,0.414,0.75,0.29
°h§Ð,³¯µaÂ×,1990,0.214,6,17,14,2,1,3,3,0,0,0,3,0,2,0,0,4,0,1,0,0,3,0.313,0.214,0.527,3,0.5
°h§Ð,´ö¥§,1990,0.2,4,11,10,0,0,2,1,1,0,0,3,1,0,0,0,3,0,1,0,0,0,0.2,0.3,0.5,1,0
°h§Ð,¶ÀªZ¶¯,1990,0,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
°h§Ð,§ùºÖ©ú,1990,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0
°h§Ð,¶À¥­¬v,1990,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
°h§Ð,¬£·ç,1990,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
°h§Ð,¼B¸q¶Ç,1990,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
°h§Ð,¤ý«T­¦,1991,0.283,90,345,315,33,31,89,67,17,1,4,120,22,23,1,2,31,5,4,1,3,6,0.334,0.381,0.715,1.857,0.81
